대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
기타의 사업,해외파견자,요양재해자수 (명),30,5,5,7,3,5,3,1,1,0,2021
기타의 사업,해외파견자,요양재해율 (%),0.06,0.11,0.14,0.08,0.07,0.07,0.03,0.02,0.02,0,2021
기타의 사업,전문·보건·교육·여가관련서비스업,사업장수 (개소),445408,303322,70914,49580,10111,7161,3447,478,278,117,2021
기타의 사업,전문·보건·교육·여가관련서비스업,근로자수 (명),3814557,521568,458548,795724,381929,486796,557384,179393,187617,245598,2021
기타의 사업,전문·보건·교육·여가관련서비스업,요양재해자수 (명),8584,1139,949,2156,1202,1392,1156,282,155,153,2021
기타의 사업,전문·보건·교육·여가관련서비스업,요양재해율 (%),0.23,0.22,0.21,0.27,0.31,0.29,0.21,0.16,0.08,0.06,2021
기타의 사업,도소매·음식·숙박업,사업장수 (개소),901995,743003,100004,48303,6166,2818,1425,147,95,34,2021
기타의 사업,도소매·음식·숙박업,근로자수 (명),3288485,1086006,642376,729376,226640,188052,227937,54668,66926,66504,2021
기타의 사업,도소매·음식·숙박업,요양재해자수 (명),20569,8639,3533,3760,941,1191,1942,221,148,194,2021
기타의 사업,도소매·음식·숙박업,요양재해율 (%),0.63,0.8,0.55,0.52,0.42,0.63,0.85,0.4,0.22,0.29,2021
기타의 사업,부동산업 및 임대업,사업장수 (개소),63391,58839,3111,1211,105,62,46,11,2,4,2021
기타의 사업,부동산업 및 임대업,근로자수 (명),138831,73434,19534,18168,3970,4253,7723,4364,1230,6155,2021
기타의 사업,부동산업 및 임대업,요양재해자수 (명),242,147,45,32,3,4,5,3,1,2,2021
기타의 사업,부동산업 및 임대업,요양재해율 (%),0.17,0.2,0.23,0.18,0.08,0.09,0.06,0.07,0.08,0.03,2021
기타의 사업,국가 및 지방자치단체의 사업,사업장수 (개소),36376,15778,6029,10363,2603,851,523,90,83,56,2021
기타의 사업,국가 및 지방자치단체의 사업,근로자수 (명),666566,28615,40708,187525,93282,57422,82553,33461,58722,84278,2021
기타의 사업,국가 및 지방자치단체의 사업,요양재해자수 (명),4981,474,329,1430,661,463,626,206,340,452,2021
기타의 사업,국가 및 지방자치단체의 사업,요양재해율 (%),0.75,1.66,0.81,0.76,0.71,0.81,0.76,0.62,0.58,0.54,2021
